Country,State,city,place,lastupdate,Avg,Max,Min,Pollutants
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-12-2018 03:00:00,102,173,59,NO2
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-12-2018 03:00:00,17,24,11,NH3
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-12-2018 03:00:00,38,65,20,SO2
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-12-2018 03:00:00,80,198,53,CO
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-12-2018 03:00:00,41,118,1,OZONE
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",21-12-2018 03:00:00,349,442,157,PM2.5
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",21-12-2018 03:00:00,414,493,273,PM10
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",21-12-2018 03:00:00,65,121,27,NO2
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",21-12-2018 03:00:00,84,139,7,CO
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",21-12-2018 03:00:00,32,42,22,OZONE
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-12-2018 03:00:00,380,457,207,PM2.5
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-12-2018 03:00:00,361,460,167,PM10
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-12-2018 03:00:00,85,109,62,NO2
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-12-2018 03:00:00,21,28,15,NH3
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-12-2018 03:00:00,16,29,8,SO2
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-12-2018 03:00:00,71,146,50,CO
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-12-2018 03:00:00,20,43,4,OZONE
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-12-2018 03:00:00,393,449,308,PM2.5
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-12-2018 03:00:00,308,422,206,PM10
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-12-2018 03:00:00,34,42,28,NO2
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-12-2018 03:00:00,22,29,16,NH3
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-12-2018 03:00:00,6,11,4,SO2
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-12-2018 03:00:00,58,126,40,CO
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-12-2018 03:00:00,20,54,1,OZONE
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-12-2018 03:00:00,395,459,278,PM2.5
